+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                  ;
+--------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                              ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; ieeeadd_uu|NandR_uu                                    ; 30    ; 2              ; 0            ; 2              ; 25     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|Lead_zeros_counter_uu                       ; 25    ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|Select_exp_uu                               ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|signTag_uu                                  ; 46    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:25:full_adderi|xor1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:25:full_adderi|xor0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:25:full_adderi|or1  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:25:full_adderi|or0  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:25:full_adderi|and2 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:25:full_adderi|and1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:25:full_adderi|and0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:25:full_adderi      ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:24:full_adderi|xor1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:24:full_adderi|xor0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:24:full_adderi|or1  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:24:full_adderi|or0  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:24:full_adderi|and2 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:24:full_adderi|and1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:24:full_adderi|and0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:24:full_adderi      ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:23:full_adderi|xor1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:23:full_adderi|xor0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:23:full_adderi|or1  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:23:full_adderi|or0  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:23:full_adderi|and2 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:23:full_adderi|and1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:23:full_adderi|and0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:23:full_adderi      ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:22:full_adderi|xor1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:22:full_adderi|xor0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:22:full_adderi|or1  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:22:full_adderi|or0  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:22:full_adderi|and2 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:22:full_adderi|and1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:22:full_adderi|and0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:22:full_adderi      ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:21:full_adderi|xor1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:21:full_adderi|xor0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:21:full_adderi|or1  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:21:full_adderi|or0  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:21:full_adderi|and2 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:21:full_adderi|and1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:21:full_adderi|and0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:21:full_adderi      ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:20:full_adderi|xor1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:20:full_adderi|xor0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:20:full_adderi|or1  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:20:full_adderi|or0  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:20:full_adderi|and2 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:20:full_adderi|and1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:20:full_adderi|and0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:20:full_adderi      ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:19:full_adderi|xor1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:19:full_adderi|xor0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:19:full_adderi|or1  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:19:full_adderi|or0  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:19:full_adderi|and2 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:19:full_adderi|and1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:19:full_adderi|and0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:19:full_adderi      ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:18:full_adderi|xor1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:18:full_adderi|xor0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:18:full_adderi|or1  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:18:full_adderi|or0  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:18:full_adderi|and2 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:18:full_adderi|and1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:18:full_adderi|and0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:18:full_adderi      ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:17:full_adderi|xor1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:17:full_adderi|xor0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:17:full_adderi|or1  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:17:full_adderi|or0  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:17:full_adderi|and2 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:17:full_adderi|and1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:17:full_adderi|and0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:17:full_adderi      ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:16:full_adderi|xor1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:16:full_adderi|xor0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:16:full_adderi|or1  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:16:full_adderi|or0  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:16:full_adderi|and2 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:16:full_adderi|and1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:16:full_adderi|and0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:16:full_adderi      ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:15:full_adderi|xor1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:15:full_adderi|xor0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:15:full_adderi|or1  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:15:full_adderi|or0  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:15:full_adderi|and2 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:15:full_adderi|and1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:15:full_adderi|and0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:15:full_adderi      ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:14:full_adderi|xor1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:14:full_adderi|xor0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:14:full_adderi|or1  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:14:full_adderi|or0  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:14:full_adderi|and2 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:14:full_adderi|and1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:14:full_adderi|and0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:14:full_adderi      ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:13:full_adderi|xor1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:13:full_adderi|xor0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:13:full_adderi|or1  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:13:full_adderi|or0  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:13:full_adderi|and2 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:13:full_adderi|and1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:13:full_adderi|and0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:13:full_adderi      ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:12:full_adderi|xor1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:12:full_adderi|xor0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:12:full_adderi|or1  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:12:full_adderi|or0  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:12:full_adderi|and2 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:12:full_adderi|and1 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ieeeadd_uu|adder2_uu|\Array_Of_FAs:12:full_adderi|and0 ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
